1,1407,CDS,+,leuC
1382,2017,CDS,+,leuD
2014,3081,CDS,+,leuB
3224,3295,tRNA,-,trnV
3286,4413,CDS,-,rpoD
4527,4718,CDS,-,rpsU
4768,5328,CDS,+,tsaD
5328,6281,CDS,+,thrB
6371,7579,CDS,-,clpX
7582,8283,CDS,-,clpP
8416,9780,CDS,+,argG
9976,10212,pseudogene,-,serS
11064,11720,CDS,+,ribC
12121,12187,tRNA,-,trnG
12361,12618,CDS,-,acpP
12611,12772,CDS,-,rpmF
13473,13796,CDS,+,fdx_1
13810,13880,tRNA,+,trnN
13895,15037,CDS,-,dnaJ
15090,16988,CDS,-,dnaK
17011,17538,CDS,-,grpE
17706,18719,CDS,+,aroG
19490,19684,pseudogene,-,mnmA
19863,22130,CDS,-,metE
22147,22218,tRNA,+,trnS
23281,23751,pseudogene,+,mnmG
23766,24455,CDS,+,rsmG
24884,25042,CDS,-,rpsT
25153,26796,CDS,+,murJ
26828,27146,mature_transcript,+,RNaseP
27161,27535,CDS,+,rplM
27532,27918,CDS,+,rpsI
27924,28277,CDS,+,erpA_1
28340,30004,CDS,+,ilvD
30254,30326,tRNA,-,trnR
30336,30597,mature_transcript,-,tmRNA
30731,31504,CDS,+,TPFVIR_00039
31505,32509,CDS,+,pheA
32506,33792,CDS,+,aroA
33912,35468,CDS,+,rpsA
35339,35734,CDS,+,rpsP
35719,36039,CDS,+,rplS
36001,36837,CDS,-,metF
36849,36921,tRNA,-,trnX
36934,37005,tRNA,-,trnV
37000,37203,CDS,-,yggX
38364,40004,CDS,-,groL
40047,40337,CDS,-,groS
40417,43668,CDS,+,dnaE
43627,44019,CDS,-,rsfS
44059,45702,CDS,+,ilvB
45716,46711,CDS,+,ilvC
46704,47864,CDS,+,leuA
47815,48171,CDS,+,rpsO_1
48244,48325,tRNA,+,trnL
48669,50203,rRNA,+,rrs_1
50275,53141,rRNA,+,rrl_1
53158,53271,rRNA,+,rrf_1
53393,53842,CDS,+,rsmH_1
53964,54269,CDS,+,rplU
54229,54483,CDS,+,rpmA
54821,55483,CDS,-,dnaQ
57679,58362,CDS,+,rlmE
58355,58425,tRNA,-,trnH
58986,59070,tRNA,-,trnL
59085,60440,CDS,+,argH
60445,60648,CDS,+,rpmE
60627,62036,CDS,-,thrC
62036,63256,CDS,-,thrA
63249,64610,CDS,-,dnaB
64613,65050,CDS,-,rplI
65040,65321,CDS,-,rpsR
65318,65662,CDS,-,rpsF
65819,66067,pseudogene,-,lpd
67180,67371,pseudogene,-,sucA
68479,70020,CDS,-,infB
71709,72062,CDS,-,rplT
