1,1800,CDS,+,FVIR_RS00005
1816,2805,CDS,+,FVIR_RS00010
3002,3682,CDS,+,FVIR_RS00015
3689,4594,CDS,+,FVIR_RS00020
4594,5295,CDS,+,FVIR_RS00025
5419,6150,CDS,+,FVIR_RS00030
6150,6530,CDS,+,acpS
7070,7570,CDS,+,FVIR_RS00040
10965,12218,CDS,+,FVIR_RS00045
13102,13902,CDS,-,FVIR_RS00050
14671,15831,CDS,+,FVIR_RS00055
16097,17386,CDS,+,FVIR_RS00060
18234,18667,pseudogene,+,FVIR_RS02590
18234,18667,CDS,+,FVIR_RS02590
20124,20720,CDS,+,FVIR_RS00065
21840,23114,CDS,+,FVIR_RS00070
23158,23667,CDS,+,FVIR_RS00075
23684,24859,CDS,+,FVIR_RS00080
24959,26338,CDS,+,der
28195,28268,tRNA,+,FVIR_RS00090
28332,28407,tRNA,+,FVIR_RS00095
28419,28505,tRNA,+,FVIR_RS00100
28584,28657,tRNA,+,FVIR_RS00105
33908,36076,CDS,+,FVIR_RS00110
38929,40035,CDS,+,asd
40344,40919,CDS,-,FVIR_RS00120
42175,44641,pseudogene,-,FVIR_RS00125
42175,44641,CDS,-,FVIR_RS00125
46021,46587,CDS,+,FVIR_RS00130
48660,49331,CDS,+,FVIR_RS00135
49764,50798,CDS,+,trpS
53253,54041,CDS,+,FVIR_RS00145
55037,55429,CDS,+,FVIR_RS00150
55437,55796,CDS,+,FVIR_RS00155
55814,56101,CDS,+,FVIR_RS00160
56232,56606,CDS,+,FVIR_RS00165
56703,57173,CDS,+,FVIR_RS00170
57271,59376,CDS,+,fusA
59447,60631,CDS,+,tuf
60817,61200,CDS,+,FVIR_RS00185
61202,61747,CDS,+,nusG
61890,62318,CDS,+,rplK
62329,63033,CDS,+,FVIR_RS00200
63347,63844,CDS,+,FVIR_RS00205
63917,64285,CDS,+,FVIR_RS00210
64618,68640,CDS,+,rpoB
68738,72958,CDS,+,rpoC
74267,74885,pseudogene,-,FVIR_RS00225
74267,74885,CDS,-,FVIR_RS00225
75943,76596,CDS,-,FVIR_RS00230
76596,78527,CDS,-,FVIR_RS00235
81265,81537,CDS,+,FVIR_RS00240
86075,86932,CDS,+,FVIR_RS00245
88255,88449,CDS,-,FVIR_RS00250
90200,90619,CDS,+,FVIR_RS00255
93701,93777,tRNA,-,FVIR_RS00260
96519,97361,CDS,-,FVIR_RS00265
101546,102340,CDS,-,map
102666,103391,CDS,+,rpsB
103501,104325,CDS,+,tsf
104497,105222,CDS,+,FVIR_RS00285
105293,105850,CDS,+,FVIR_RS00290
107170,107931,CDS,+,FVIR_RS00295
107944,108801,CDS,+,FVIR_RS00300
110126,112555,CDS,+,bamA
112701,113198,CDS,+,FVIR_RS00310
113202,114224,CDS,+,lpxD
114369,114824,CDS,+,fabZ
114829,115617,CDS,+,FVIR_RS00325
115620,116768,CDS,+,FVIR_RS00330
117190,120672,CDS,+,FVIR_RS00335
120685,121644,CDS,+,FVIR_RS00340
123062,124594,CDS,+,tilS
127322,129046,CDS,-,FVIR_RS00350
132081,132157,tRNA,+,FVIR_RS00355
132868,133641,CDS,-,gloB
134246,134713,CDS,-,FVIR_RS00365
134770,135519,CDS,+,FVIR_RS00370
